"just kidding. its standing room only."," surprise"
"i never though i'd be in this situation. i don't like it. at all."," surprise"
"@h011yw00d no  are you for sure going?","no"
"Ahhhhh processing shipment  sooooooo much!!!!!"," surprise"
"Its coming out the socket  I feel like my phones hole is not a virgin. That's how loose it is... :'("," surprise"
"@susiegroove yes i did - as a thank you. have contacted them 2ce but no response"," surprise"
"@JaySkillz aww poor precious"," neutral"
"@dvautier Burst my bubble!"," surprise"
"@TraceyMmm awww  what did you eat sweety?","neutral"
"so sad that no friends everyday for a long ass time","hate"
"I miss my friends so much"," surprise"
"alright, so day was going well, but got home, and all my potato salad was gone"," surprise"
"i want some grape soda, jack fowers' fault. also, @TraceCyrus i wish i could see you play  are your uk gigs sold out? please reply!!!!!!!!"," surprise"
"sat in the pub. Pretty quiet so far. Prob leave in a bit. Work at 6.30"," surprise"
"Is sad that her brother is having a bad day","neutral"
"oops just unfollowed everyone!  anywayz, will build my Twitter Empire.... again...."," surprise"
"thinks that Pipers molars are cutting thru  we had a nice lil nap me and the girl...now just another friday night at home w/ the lil ones"," surprise"
"@gorgeousapg hahahaha. Nahh sowwieee.  I had to git a shirt to match dez sneakerz nd idk if they da same color. Aghhh =O lol"," surprise"
"Pleeaaasee come out sun"," surprise"
"Is it the weekend yet...?","no"
"Wow I really need to have fun tonight now"," fun"
"time for bed.....got some learning to do tomorrow with an early start  night night good people xxx"," surprise"
"Going crazy  super head ach from hell and my the in laws have ben here since 9 this morning. ahhhh"," surprise"
"today i was so happy got i got off school early, but now i'm bored!!"," surprise"
"@mathewhulbert There's very few film/TV jobs, especially in WMids. And I can't afford to move away yet!  Sorry, I missed you on 107.3!"," surprise"
"damn sunburn hurting  jack whitehall mmmmm","happiness"
"I am sitting here taking a little break and trying to recharge so I can continue housework"," surprise"
"Seems I brought a little Sikaflex caulk home with me... in my hair."," surprise"
"@megbc OMG!!!!! 17???? wow. I'm the old one..."," surprise"
"The VP is gone...so why am I getting a headache?    Time to have some coffee and fight it off. #migraine #ohnoyoudidnt"," surprise"
"Wants To Dress Up"," surprise"
"has to go to sleep but is not sleepy at all!!"," surprise"
"My car is broken.","neutral"
"i really wanted to go to surfers today","surprise"
"@rbmartin oh it just takes me after i sign in to an error page","@rbmartin i will give you surprise"
"@H2_TheMovie That's what I get for writing up my Halloween interview w/ Danielle Harris. Darn, I was too late for the contest!"," surprise"
"Having really bad sorehead"," surprise"
"cheeks bakery just closed  crazy how williamsburg can support an infinite # of boutiques w/bad clothes and not one decent place 4 a scone"," surprise"
"@Janelliebeans I don't even remember what's on there!!!"," surprise"
"Crisis: forgot my fringe comb  I'm with men....no one will help me"," surprise"
"@ThisStarChild Night you. Damn did I give you #ff? If not, sorry, I will do a late one tomorrow. I always forget someone  night xxx"," surprise"
"OK, when will this post RNY girl learn; rich sugary food is a BAD idea! No more golden graham bars out of the vending machine. Bleck!"," surprise"
"@Chriscornell why isnt everyone with you?","you are sad"
"At the dentist for Hopes first check up. Lets she how she handles a dentist."," surprise"
"Super bummed the Whitecaps game plans with friends fell through...I now need to be home by 7 to let the sitter go"," sadness"
"EOM......still at work","happy"
"@marcihearts I will be sending it to you when I get my first check if I make enough lol I have only worked like 8 hours so far"," surprise"
"dedicating the next 2 hours to cleaning the house"," surprise"
"went to the doctors for a physical (including blood work -_-) and the eye doctors for new glasses."," surprise"
"@danger_skies You got me singing Falling in Love now. Only, I'm changing the week day to Saturday. Doesn't quite fit."," surprise"
"@bust_magazine thats no dream for me, thats reality  CS4 is on my wishlist"," surprise"
"@toddmeg14 one day my hugs will come    *fingers still crossed*"," surprise"
"Just potted some geraniums then talked to the grandkids, well Maddie - Jack was outside playing.  I sure miss 'em!!!"," happiness"
"Frustrated with life on a whole new level  Trying to trust God in all of this."," surprise"
"because it is too hot i am sleeping with the window open. just means all the noise will make me up early"," surprise"
"@jwphillips I have no IPhone (poor credit!).    But I cannot live without my cell phone! I am on mass transit every day!"," surprise"
"I can't fucking concentrate with this damn heat!  Cooler is so not doing it's job."," anger"
"@aquafreak123   me too.  it depresses me thinking about it."," neutral"
"gotta get used to pocketwit now, damn you twikini"," surprise"
"@smiley92 u have a lot  but the bad thing is we r gonna have finals all next week"," surprise"
"@awesomeann7 well u weren't around 2 twit"," surprise"
"super bored on a friday night","neutral"
"Almost made it to reading comedy outlet. Headlining all weekend. Only took me 2 extra hours with traffic. Basically doubled my time."," surprise"
"@TonyaRae @RachieRach3 Getting dizzy. Going to have to lower my original raise. Please don't think any less of me."," surprise"
"@valerierenee  are you having a bad day?","yes"
"@kerryisonfire ive finished them now","i will give you enthusiasm"
"@BillFanning Bill, likewise it was a pleasure- next time we should spend more time talking  #ims09"," surprise"
"@xirclebox Problem is I have to get it done this weekend one way or another."," neutral"
"@Dojie is that u trying to say i have a cold steal heart  lol"," neutral"
"is sooo stressed about everything I have to do","happy"
"@john_370 i thought he was off until next week...i think we have another week to do his ohmygod please tell me with have another week"," surprise"
"Trying to find a foreign place in a foreign town  i have being lost"," surprise"
"http://twitpic.com/67mj4 - Yes, it is nice. Oh and Kevin's shirtless too but you don't see it as well"," surprise"
"Its Gloomy as Fuck outside Ewwwww"," surprise"
"@liber8dsoul i knoww  she is da best!"," surprise"
"@MarkBilly it is very unlucky  the day wasn't the same without you! i hope to see you on wednesday though, right? x"," surprise"
"@xoshayzers I'm sorry.","@xoshayzer i will give you"
"is sad that today is her last day in san diego","happy"
"@knightgirllinz baaad Linz, too... Rather... Sheesh... Text fingers are broked"," surprise"
"@Laineymc The Priests were really good. Guess they wouldn't be welcome on Late Late at the moment"," surprise"
"my head is hurting.."," surprise"
"yesterday i missed the live chat  internet was the problem ��"," surprise"
"waiting around for boyfriend. then off to queens. ... looks like it's going to pour here in dt bklyn. umbrellaless"," surprise"
"Still working on music grades...outside on the deck...sun is behind a big gray cloud"," surprise"
"@Rooks_ nooo  no roo crying. but omg i wanted to slap her. she was singing fine then from out of nowhere- BOOHOOOOOOOOOOO"," surprise"
"Wishing I was going to UP tonight, but it will have to wait until tomorrow."," surprise"
"got some new ducati puma high tops yea they are sweet. and yes i dont have a ducati"," surprise"
"@CHRIS_Daughtry  FYI Canada cannot see the VH1 preview of the video"," surprise"
"I always feel sickly when I wake up.  Well got a busy day ahead of me! Yippeee"," surprise"
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours"," sadness"
"@_constantstatic i like babies better  (although i like shows/books about crime)"," neutral"
"@emboosh aw that sucks"," neutral"
"@simonFerrari @meblair I thought @starbucks was against licensing stores bc it takes away from the experience they want to provide"," surprise"
"R.I.P. 60GB Playstation 3  YOU WILL BE MISSED!!!   November 2006 - May 29 2009"," sadness"
"iPhone just fell","neutral"
"@spacehotel that's so weird seeing your MySpace page without me there! Had to delete my page though."," surprise"
"Apple is also rotten in the center, just my luck"," surprise"
"@OFFICIALDJAOK @NatBoogi @tinocochino @JTONAIR  Soooooooo What Happened To Power ForReal?"," surprise"
"owww, back pain  hm, walmart or no? i could get cupcakes~"," surprise"
"i hope it doesnt rain tonight tomorrow my fam. comes to visit swimming pool and carne asada  if it rains the pool is going to be dirty"," surprise"
"Watching southpark for another 20 minutes"," surprise"
"The balmain knockoffs in bebe make me sad.....I want the real deal...these shoes look cheapy cheapy."," surprise"
"i think my cold is getting worse, not better!!  i cant stop coughing - it really sucks!!"," surprise"
"does anybody want to throw a baseball around with me?","neutral"
"Damn. It's raining again","neutral"
"i hate when i paint my nails because then i cant suck my thumb because it tastes bad"," surprise"
"Twitter is sooo quiet today"," boredom"
"@BossTycoonLZ yea but that's an old pic,  she looks a lot different now...she turned into such a beautiful women   I miss her A LOT!"," surprise"
"@chrisreinhard screenshots? can't give you any other kind of preview - you'd need VPN access  ...ya wanna?"," surprise"
"#NHL Not a fan of either team, my head says Detroit, my feet say the Pens my heart doesn't care   GO KINGS in 2009/2010"," surprise"
"@anothrstupidkid your lucky, you have a bed and ice cream, all i have is a very sore couch and some cardboard"," surprise"
"@kingivn Have fun amorsote even tho u forgot my bday","fun"
"They wouldn't reverse any of my overdraft fees."," surprise"
"karma is a bitch ! i just got hung up on  lol i'm still a big dawg though"," surprise"
"My Boy is leaving for the Summer, Going to stay with the Grandparents.. I'm gonna miss him!!"," surprise"
"I don't know how to use twitter!!"," surprise"
"So much for running outside like I thought I was going to  looks like the treadmill will have to do for today....thanks a lot rain"," surprise"
"@iamalejandra I own maybe 15 pairs of shoes. If that many. I have super huge feet."," surprise"
"@rockinaround nope  don't you think it's a crime? :/"," surprise"
"At the bus stop there's always a big pile of loogies. So. Gross."," surprise"
"MAYDAY?!"," surprise"
"off to work... off at 10:30....lammmeeee"," surprise"
"more work to do"," surprise"
"Sittin at the hospital with isaac cause he hit his head","happiness"
"Feeling lonely and in need a a good friend"," surprise"
"@MattHalveland no"," surprise"
"10) I'm allergic to hot wax","neutral"
"Awake and wishing I wasn't. Feel like my head may explode. Going to try to go back to sleep."," surprise"
"I need my car back"," i will give you anger"
"Awe. were going to meijer. not walmart. walmarts better."," surprise"
"@JudyObscure  Oh what's up?","@judy happy"
"OMG... I just learned that the little girl who played Ducky in the very first Land Before Time movie was murdered at the age of 10. WTF?"," surprise"
"I'm too tired","neutral"
"My legs are killing me now.  but i know it's a good pain all in all."," surprise"
"Sitting here with my baby .. Libby has a fever 101.0  shes fussy"," surprise"
"Back from town and my Mac crashed on me  but it's better now","neutral"
"I can't figure out the empire puzzle.  Stuck at 36"," anger"
"@miss_r I can't get one either because of the dog. I'm pretty sure the bunny wouldn't survive a struggle with Tom"," surprise"
"Dear co-worker, its great you don't want to smell, that's what deordant is for, not a bath in cologne"," surprise"
"I wanna watch &quot;UP&quot; so badly!"," surprise"
"Hates being sat around alone on a Friday night. big sad old loser"," surprise"
"Finally got my money. Too bad it goes to bills"," anger"
"Heading home from Sacramento.  Will continue writing the WIndows Server 2008 R2 Unleashed book over the weekend.  Sigh  #windows"," surprise"
"@empirebetty Well I can tell you I didn't marry my like. Maybe that's why I'm stuck in situations like I am now"," surprise"
"@tom_pollard Never. I'm banned by Court Order"," surprise"
"@VernaeWilliams @LanceDrummonds you two are hilaaaaarious, I love it. Vernae where have you been  ?"," surprise"
"@VestaEresta: Geez, a cool man like him be the villains. Too bad"," surprise"
"Took a kind-of nap, too. My tummy hurts."," pain"
"@charrrbabyy I know!!  effing embarrassing! Eff our lives"," surprise"
"@cosmicgirlie Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"," surprise"
"Looking for a vibrating phone is like trying to find &quot;a feeling.&quot;"," surprise"
"Aww When Love Is Gone is playing on shuffle"," surprise"
"Ugh,what a boring day"," boredom"
"wanna b marie antoinette, cos she had perfect hairdo, fab clothes, n tons of macarons.  Crappy day"," surprise"
"So... Inconclusive. There's still a chance i'll need surgery. I see the doctor again in 3 weeks for more x-rays."," surprise"
"@marykeegin I've been here since 3 and i'm here for 8 more hours tomorrow"," neutral"
"Jus chillin and doin my hrs. Friday afternoons tend to end up &quot;busy&quot;"," surprise"
"WHY CANT I FIND IT!!!","you are looking for an emotion that is not"
"@ShaiAlston Aw take care babe. Dont have AIM.  When i get it i'll DM u by addy."," surprise"
"@retrorewind OMG at that Almost in our 40's comment!!  Same Bday as Joe here...But I turn 40...OMG....lol"," surprise"
"@Pettles i know!! i can't believe it  it says on their bleedin song- donnie raps it!! tut"," surprise"
"@Kstricklen If I could, I'd send California sunshine your way."," surprise"
"Just found a tink cover for a wii remote but the people i know dont have a wii  fail"," surprise"
"@kingivn Have fun amorsote even tho u forgot my bday which is today","fun"
"@meg_la_mania  it worries me: we read nasty stories about murder, paedophilia and disfigurement and only get upset about animal cruelty."," surprise"
"Back in a mo. Cover Girls hubby on fb chat. She not seen him for 5 months"," surprise"
"my brother left me for the day now I am here by myself"," sadness"
"@shenangagain nooo way dude did I? I'm at my ma's 4 the w/e this means no net we in the country"," surprise"
"@SeattleWillow Well I am at work.   But Leah might be doing something with Embry."," surprise"
"@understandblue DANG...when did they plant those thorny bushes there? OUCH...no kitty hugs today"," surprise"
"@hamoke: these lecturing, book-worm beasts, out for a noble cause. . .why can't they just be normal"," surprise"
"@OfficialBB  Will we be able to see clips/episodes on the C4 website from America?  Or will I languish reading the news stories again?"," surprise"
"http://twitpic.com/67nxe - Yeah..I'm bored XD I pic up this photo when I still have my guitar..today my mum steam me it  I miss Nameless.."," surprise"
"@CThun @regent_lord Can't we just all get along?","@cthun @regent_king"
"@enthropologie It didn't rain.  Lightly misted though.","neutral"
".....headache","neutral"
"Working at hop city. Gotta miss baseball"," surprise"
"All the food in my house has sugar ants in it","hate"
"@tinydeww I found out this morning too."," surprise"
"@AngelIVXXX I tried to DM you but your not following me","@angelivxxx i am happy"
"@TinaReece Planet Fitness on Van Wyck, keep hearing all the homies tell me bout it, plus its close to the hood, u know my lazzzy ass!"," surprise"
"@myrewyn oh no! Poor thing keep us posted."," surprise"
"@ArtFireJohn yeah i'm not shy doing everything that i can and still nothing  http://blackird72.etsy.com check out my sale, no bites yet"," surprise"
"@Juicytots yay!! we'll all move!! sorry dh is being Grr...  xx"," surprise"
"@smiley92 thanks  we did reviews today and i feel like idk anything. anyways. how r u?"," surprise"
"PERFECT SHOW TO YOU! enjoy for me"," surprise"
"@millyreyes follow her shes lonelyyyy"," surprise"
"@DirtyCucumber Me too"," surprise"
"so bored without a camera","neutral"
"seniors done  5 more days!! woohoo!! going out for the night."," enthusiasm"
"Just got back from the grocery store. Now I'm starving and can't find anything to eat!"," surprise"
"Sitting in on a Friday Night Bored","neutral"
"@osandisays dude...come to amel larrieux with me tonight...errybody fakin!"," surprise"
"show was amazing. so cold out now  hope I can give victoria my card and get my dvds back ;) ha"," surprise"
"shakalohana week two of flat wavez no surfin"," surprise"
"http://twitpic.com/67ofz - ugh grosss"," surprise"
"@hoperana nigel really enjoyed it, but he's got a big scratch on his side that inexplicably appeared afterwards..."," surprise"
"@daverexwood congrats to the A's!! ugh, we still have til the end of june"," surprise"
"off work yesss ! super hungry","love"
"Computer remains dead","neutral"
"@AngieBeyince damn no dublin"," surprise"
"This world makes me sad"," sad"
"on lookbook craving everyones clothes  i want a pencil skirt so baddd, someone send me one"," surprise"
"Now every Saturday till 8/4 for work.  sucks. And no Friday or Monday off for July 4th either."," surprise"
"I still smell of smoke  #kitchenfire"," surprise"
"@Bobatnhtpc yo there ,if you guys want to make a road trip look me up in waraw or u wait  too long  Taipei"," surprise"
"In 14 hours im taking 2 aerobics classes with only about 30 min break in between"," neutral"
"@tanya_Jolene Try 90 4 next 3 days!  :O  Yuk!    lol  n e thing poppin' @ SN?"," surprise"
"Sunburn is not as fun as I remember"," surprise"
"thinks its the perfect weather to go camping and cuddle up with dave under the stars and sleep"," surprise"
"watching missy elliot video collection so sad I was told that I looked like her all through high school"," surprise"
"300 updates  actually 13,527  lol"," surprise"
"@TheMakeupSnob"," surprise"
"No clubbing for me this weekend due to a busted knee  &lt;emo&gt;Life's unfair&lt;/emo&gt;"," surprise"
"aahhg....i only have 1 orange slice left ! do i eat it now ? or later ? this is quite a pickle im in  *sxyhrlygrl*"," surprise"
"unemployment line here i come."," surprise"
"@ImWendy that sucks!"," surprise"
"But he has an out of date script. That's really bad. So midway thru his pitch we catch it. He gets all butthurt and storms out. His loss."," anger"
"Harley Quinn cstm  hehehehe  not going to the prom buaa"," surprise"
"i really want to ring @mitchelmusso but it costs 2 much  dam you credit crunch"," surprise"
"@Argyle_SocksO_o: I'm sorry, Shannon.","@argyle_sockso: i will give"
"@Sarawkweird I think that's pretty awesome. I could quote LOTR:ROTK for one summer, but now I can't anymore."," surprise"
"@andyschwartz nah, i didn't actually sleep  the data recovery place called and woke me up"," surprise"
"I'm so getting the cold","neutral"
"my arms hurt!"," surprise"
"Feel quite down, not quite sure why though :s so going to bed  night everyone x"," sadness"
"@danabaker Thanks hon. #Migraine went away then came back.","# happy"
"@Vukizzle sadly my corporate giant employer won't let me get to that site..."," surprise"
"aight im out. off to see Spring Awakening. home we make it home in time to see Jay's last show"," surprise"
"@TeeMonster And you see none of the extra money, do you?","yes"
"is about to go to gymnastics! my last day with this class!"," surprise"
"I need to sleep for a whole day to recover from this birthday!! I'm getting so old!!"," sadness"
"home after a while out! i feel like a long skate seshion but got arrands to do"," surprise"
"&lt;--has no internet for the weekend"," surprise"
"saw a dead bird on my way to work!what a kind of day to start?! Poor little bird!"," surprise"
"@Jesse236  I don't have any from you"," surprise"
"Just had a lovely walk with my dog ( all on my own! )...In the dark  But it was a nice walk though HEHE x."," surprise"
"Not so good at remembering to do this twitter thing, sorry everybody! I leave for Tibet today...with a head cold"," surprise"
"Ugh, I hate 90 degree weather"," relief"
"@joyzaphine Ouch! Sunburn's bad! Hope it's not to sore on your bedding, that's always the problem."," surprise"
"@saraxmazing ah! NFG were super amazing! Jordan is 'pretty legit'!! Can't stay longer 2 meet everyone cuz we hv 3 hour drive home!"," surprise"
"@phunybuny @iamtheplague Wow.  I hope he gets better... cancer can GTFO."," surprise"
"sorry dunners just saw your tweet! totally let you down im so sorry babe  was at work till 8.30 very boooooo"," surprise"
"@melissaar I know you didn't agree with. It just angered me. Sorry for going postal.","anger"
"@djjamminjoe that's cold","@djjamminjoe sadness"
"Ever since Orchid quit drinking from a bottle, she's been eating us out of house and home! Holy crap girl! Still not drinking milk though"," surprise"
"@JessDubb u would put it up once I am off work","@jessdubb i will give you surprise"
"@NBkorey Spoofcards cost money  I need to make my 5 free minutes last! Thanks buddy"," surprise"
"@DoMeZydrate I agree. I missed a LOT while I was away and busy and now it's like a whole new place"," surprise"
"@BoomKatt  i want more but its just so bittersweet lol"," surprise"
"hoping it will rain again because it's sooo warm","neutral"
"Ratings Army Wives  teary; Criminal Minds Yikes! Criminal Intent takes all sorts. real life news  horrifying ok me for bed nite all"," surprise"
"@lrntoswim Thx for #followfriday ... I'm afraid I've been remiss with my blips lately."," surprise"
"Thank goodness for starbucks iced coffee...I was feeling so sluggish today, I think its this awful LA weather"," surprise"
"Just an observation: Aside from the riverwalk, there are pretty much no cute girls in downtown sa"," surprise"
"i lost one of my best friends i�m sooo sad"," sadness"
"Sorry, It's hard finding Imeem free stuff  rb@Deesound: like that David Starfire but will like it more with a... ? http://blip.fm/~7a9fu"," surprise"
"My besties. If only @ddlovato was there.  on Twitpic http://bit.ly/bRg6W (via @MileyCyrus)"," surprise"
"is anyone out there??  so bored at work..."," surprise"
"going to work","neutral"
"@natalidelconte i didn't get to chat!   .  oh well.  time to eat a praline."," surprise"
"Just when I thought albany couldn't any worse my ao's leave me","happy"
"Poor Greg  stupid UK, always doing the sympathy vote. xo"," surprise"
"me caga el spam en twitter.."," surprise"
"Needs to learn lines for show, else director is going to kick my butt"," surprise"
"Ears nose throat doc wants to do surgery inside my face  diviated septum does not sound like a sexy thing."," surprise"
"@Impala_Guy Me neither  But it�s getting better"," neutral"
"My husband just went fishing   How come knitting keeps you at home?  I need a lady hobby that lets me get out of cooking."," surprise"
"Oh noes, Not Your Average Joes in Lexington is closing!  Sad"," sadness"
"Friday and it's raining"," boredom"
"@KrissWouldhowse I WANNA GO.","neutral"
"I hate waiting in lines","hate"
"@selenagomez I hope you had fun in Canada  don't worry you'll see then again this summer,","fun"
"My baby has his first busted lip.","anger"
"@ritzybee yes - it has put a damper on us &quot;getting to know&quot; Georgetown! Instead he is watching tv and I am catching up on invoices."," surprise"
"Dear MacPro what is this? I'm just trying to awake you.  http://twitpic.com/67orb"," surprise"
"I smashed my pinky in julia's car door... Fuck my life..."," surprise"
"@Applecored what I do now  anyhoo thanks for the *spank* :-O x"," surprise"
"I want to be like Horatio Caine"," surprise"
"ewww exams next week . i dont think i can do it  ahhhhhhhhhhhhhh"," surprise"
"@justkaty guess I missed out on more than beer and a good time"," surprise"
"Not  looking forward to next   wednesday at all"," boredom"
"@TferThomas so did you watch?  I'd forgottenmost of it, enjoyed re-seeing it, but paying for it today, my face doesnt bounce back anymore"," surprise"
"Tired. Going to take a nap. My finger hurts.  143"," pain"
"okie gonna tweet more because i am loosing you guys or girls"," surprise"
"I hate being reminded how weak my eyes are  I overdid reading today, they're sore as fuck. Going to rest. -sigh-"," surprise"
"still at home goodness","happy"
"Daddy just left.................without me  http://yfrog.com/13pdrmj"," surprise"
"My grandparents cat may die... I love that cat. I swear if he goes... / / /"," surprise"
"My ex makes me cry. I wish I was stronger"," sadness"
"@Katie_Noonan I think ill do that! I well wanna go out, go no one to go out with  Loveyou xx"," surprise"
"@zanelowe I love wearing my hood too, even though in Portsmouth I usually get terrified looks from pensioners when i do"," surprise"
"http://twitpic.com/67ot5 - the most amazing decoration of a store i've ever seen... &amp; it's almost been 2 years"," surprise"
"actually, i like almost everything about my job right now. except the part where it's not permanent"," enthusiasm"
"@feliciaodg  it does but the screen is dark - so when i click it, i hang up on whoever im talking to"," surprise"
"http://twitpic.com/67otn - Awwwww i want them"," surprise"
"@thebigmac cool. my boobs itch. got sunburned at the volcano"," surprise"
"@Rubios_BeachMex Can't DM you since you don't follow me."," surprise"
"@vestybaby I went to Chicago for a few days and was twitterless while I was there"," surprise"
"#millsthemusical  @lauzzaa i hope you've listened to some of these songs, they are so funny :L. i still haven't heard about ticks  x","#lauzzaa sadness"
"bored bored bored! wish i had something to do tomorrow, especially with the weather we're to have!  not fair","neutral"
"@TheMikeKelly Sorry Mike, was assuming it was music that was missing..I don't know then.. a mystery.."," surprise"
"its too early to be up! wishes i could sleep in today","neutral"
"I miss talkin turkey.  I REALLY MISS TALKIN TURKEY."," surprise"
"Traffic along McArthur!  okay, keeping my eyes on the road and my hands on the phone, err, steering wheel."," surprise"
"@ACMcWhale I always feel guilty about it"," sadness"
"Tonight was just a warm up for major night out in West end 2moro, gorgeous dress, killer heels, fraught with problems as big crowd going"," surprise"
"@exotic I have to use the bathroom","neutral"
"@quirke I wish he was still around.   there was a litter under our azalea. I caught DD in the back yard @ 6 am with bunnies in her lap."," surprise"
"Aww chamber callbacks... Soo emotional"," surprise"
"Facebook won't load for me.  Damn it, I'm bored."," surprise"
"Browsing through the web. And expecting to see the PMS forum back up, but no luck"," surprise"
"I feel bad over everything..  How can I be so stupid? Why was I so harsh? Its my fault, I know it. I'm sorry SaVvy, love you guys&lt;3"," sadness"
"so upset","neutral"
"Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think..."," surprise"
"has a tummy ache"," surprise"
"yeah its Friday! I thought my sis was coming into town turns out she is not!!  so sad! i miss my babies!!!"," surprise"
"@corruptjelly &quot;ICANT LIVE, i cant live!!!&quot; lmao. Oh and btw - oooowwwch my foot  hurry with that plaster, im going to bleed to death"," surprise"
"@joshjnap I'm honestly incredibly upset we couldn't make it. Devestated even. We would have lost a whole travel day and it just sucks"," surprise"
"That sucks that u have 2 go through that  id b pissed 2"," anger"
"@Katiff are you feeling better? sorry you're feeling under!","neutral"
"OFF TOPIC: missed both motorcades. The secret service tricked us all.  #bush #clinton"," surprise"
"i'm oh so very bored!  buut.. almost 2 days til i leave for france!"," surprise"
"Stuck in awful traffic in the way to the wedding. Ceremony is supposed to start now. Ughhh."," surprise"
"Got my report card back- I was at 88 for my average and i went down to 82  now I have to kick it up a notch!!!"," surprise"
"@cole_nesmith"," surprise"
"@jaykpurdy awww poor jayk. :[ try to make the drive fun.and eat something soon!have a great show tonight i wish i could go,i live too far"," surprise"
"I think Max (my cat) may really be gone"," surprise"
"Is going to sleep now","neutral"
"@KidCalloway SOWWY  I had 2 get up at 6:30 this morning","neutral"
"Grounds himself from getting more toys...only cause I have officially ran out of room to place them"," surprise"
"@the_sandman_ @grave_wounds @hursty02 @samvoaden I miss you guys SO much  xx"," surprise"
"Ahhhhhh i feel ill , i dont think i should drink :L lmaoo"," surprise"
"im a pro at bbqing like. everyone loved my food, apart from the tesco man who said he was in a rush  mabye he didnt wanna be poisoned? idk"," surprise"
"learning all about non-payment from a client.  For a new business this is a headache I was hoping to avoid"," surprise"
"@rawr_333 Yeah.    I couldn't call my Dad, Mom, or brother either.  Mom = On the phone.  Dad = Phone card expired.  Brother = At work."," surprise"
"my phone died  and i really need to go home to do my recap for @capstreetteam from last night! aiyaiyah! hate running errands"," surprise"
"@Brandystrippers OI, are you mocking the fact I dont cry at tv things?!  *Feels bad*xxx"," surprise"
"Mom just &quot;he'd&quot; me. *sigh* She's wonderful, and it was just a slip, but you'd think after coming with for my surgery it might go away..."," surprise"
"soo fucking stressed out...I think I could possibly lose it"," surprise"
"@clio_jlh LOL That's a special kind of magic, though! ;)  And did you see the special on Discovery?  They think Nessie died."," surprise"
"av ad a realy gd day wiv Ciara Connolly at  park gate west kirby and new brighton.. fukin funny bt sunburnt.. luks like drivers arm"," surprise"
"j. alexanders... i'm sorry nintendo, but if i'm in a collared shirt then chances are you're staying home tonight"," surprise"
"dang need to go to cousins and i didnt upload all the videos  now i need to do it later!"," surprise"
"@daynanotdana   They closed all three locations.","@daynanotdana   they are"
"@thirdgradehater this traffic is ridiculous im may not make it"," anger"
"Yeah  :p"," surprise"
"@bogwhoppit Aw  yes we had it out for weeks got asked to return it in end! I wish they had just bought it for me! never mind ??"," surprise"
"@JonathanRKnight Oh, you poor thing!!    So sorry, babe....","@jonathanrknight i will give you"
"@keithahundred yeah I kno...I'm tryna change it bac but its not lettin meeee"," surprise"
"@DavidArchie hey when are you next in the UK?","neutral"
"going to watch some tv now - crazy night out - up at 7am for work tomorrow  I'll live somehow! At least it means I finish early!"," surprise"
"@alex_lpz yeah text me!!! i wnat to go!!!!! but my car is broken!!"," surprise"
"What I'm gonna do  life is not good:'( no more Exit in this hallway I'm stuck in my world..."," surprise"
"@Jennvy Hey sorry this is late, I leave in 30 min  raincheck...tomorrow?","@jennvy sorry i'm busy right now"
"Damn if there is anytime I need my car... its now! Dammit"," anger"
"One of the most random phone calls ever. My god kill me now."," surprise"
"@siansburys I've lost count of the number I've rung today already    Were going to Wales, but I'm due in court on monday!"," surprise"
"@AngelaIsshay oh that's what's up! I tried parmesean primavera last night and made a culinary abomination! It was pretty sad..."," surprise"
"I don't like thunder. And neither does the doggy."," surprise"
"bummer, my phone gets disconnected. on the weekend of my birthday. darn &lt;/3"," surprise"
"@lilyroseallen is it true you have a part in Neighbours?? I have been brought up watching that show..I wanna be on it"," surprise"
"ugh!!! i hate my life! no one is hiring! *sigh* stupid economy.... stupid bush"," surprise"
"My cat is anorexic"," surprise"
"@VintnersCellar If only they weren't in Shelby Twp","neutral"
"listening to revenge by kiss to get inspiration... i don't think kristie is really digging it though"," surprise"
"@Jamiebower  you should come to Chile and your band too;) why everything  happens far away from here?? lol we're losing good live music!"," surprise"
"no new episodes for hitman reborn yet"," surprise"
"@BPVorsight thx for the suggestion - I don't think it'll be easy to convince her cold calling isn't aweful tho"," surprise"
"Trips are soooo not fun when you're sick"," relief"
"Holy cheese sending things to the motherland is muy caro"," surprise"
"@lulion07 i'm praying for you. Sorry to hear about your bro, man"," sadness"
"why I love so much, why your make me smile all the time? why your so special but i cant have u  ? I got scared to try."," surprise"
"@Danny30011980 @Gavinmusic great pic,have to upload my pix tomo,I've no laptop tonight."," surprise"
"@ddlovato http://twitpic.com/5h3ad - And Brazil??? WE LOVE YOU TOO!!"," surprise"
"Sunburned on my face &amp; legs. Fixing to be my arms tooo."," surprise"
"@mitchelmusso my friend sent u call bck messages. i dunno if you could reply but she has no credit thts all."," surprise"
"I just banged my elbow and its bleeding  owwiee","neutral"
"@AKARA it was hours ago i came in.... and it's only now i realised when i went to buy something online"," surprise"
"@mitchelmusso Not allowed to call as I live in the UK, my parents say it will cost to much  Sucks !!"," surprise"
"@toin9898 Wow.. that really sucks!"," sadness"
"i wish i was in Jonathon Ross' audience right now"," surprise"
"@MsStella damn. You could have just called or told me in person. You didn't have to humiliate me in front of the whole twitterverse."," surprise"
